age,default,balance,housing,loan,contact,campaign,pdays,poutcome,job_non-qualified,job_qualified,job_semi-qualified,job_unknown,education_primary,education_secondary,education_tertiary,education_unknown
2.664954749068151,0,-0.23711336782446032,0,0,0,-0.5569879489367736,-0.4814604658133723,3,True,False,False,False,False,False,False,True
-0.27379954592107386,0,-0.26949743321498865,1,0,0,-0.19086420292945308,-0.4814604658133723,3,False,True,False,False,False,True,False,False
-0.9455148133471823,0,-0.3009819412335578,1,1,2,0.17525954307786745,-0.4814604658133723,3,False,True,False,False,False,False,True,False
1.5734174395007245,0,0.1997716624903523,0,0,0,0.17525954307786745,-0.4814604658133723,3,True,False,False,False,False,False,True,False
0.3979157215050347,0,-0.4029317767222581,1,0,0,-0.19086420292945308,-0.4814604658133723,3,False,False,True,False,False,True,False,False
0.6498089467898254,0,-0.4290189405090726,1,0,0,-0.19086420292945308,2.695086773561725,0,False,True,False,False,False,True,False,False
1.489453031072461,0,0.5119180705601669,0,0,2,0.17525954307786745,-0.4814604658133723,3,False,False,False,True,False,True,False,False
-0.7775859964906553,0,-0.5309687759977728,0,1,2,-0.19086420292945308,-0.4814604658133723,3,False,False,True,False,False,True,False,False
-1.029479221775446,0,-0.39963339969174133,1,0,0,-0.19086420292945308,-0.4814604658133723,3,False,False,True,False,False,True,False,False
1.1535953973594069,0,-0.45870433378372355,0,0,0,-0.19086420292945308,0.36808123774043294,2,False,True,False,False,False,False,True,False
-0.9455148133471823,0,0.08822654836742141,1,0,0,-0.19086420292945308,-0.4814604658133723,3,False,False,True,False,False,True,False,False
0.733773355218089,0,-0.34236158034367736,0,0,0,-0.19086420292945308,0.4419544293538073,0,True,False,False,False,False,True,False,False
0.901702172074616,0,-0.2593024496661186,1,0,2,0.541383289085188,-0.4814604658133723,3,True,False,False,False,False,True,False,False
0.6498089467898254,1,-0.6152273165046104,0,1,0,-0.5569879489367736,-0.4814604658133723,3,False,True,False,False,False,False,True,False
-0.0021424601516892836,0,0.3110169241559635,1,0,0,-0.5569879489367736,2.852067305740146,0,False,False,True,False,True,False,False,False
0.733773355218089,0,0.4759357756818021,0,0,0,-0.19086420292945308,1.042174111212474,0,False,True,False,False,False,False,True,False
-1.029479221775446,0,-0.4530071370946491,0,0,0,-0.19086420292945308,0.11875921604529442,2,True,False,False,False,False,False,True,False
